TARGET_CLASS,criterion,configuration_id,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Random_Seed,BranchCoverage,CoverageEntropy
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,46,151,83269,7854,7855,235075,11,11,116,116,1014,0.7796610169491526,0.24949533949838365
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,47,151,95618,7855,7856,263168,12,12,112,112,1022,0.7966101694915254,0.31987493133055805
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,38,151,61161,7929,7930,194560,6,6,63,63,1017,0.6440677966101694,0.3479771366230109
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,4,151,54614,7909,7910,381335,2,2,10,10,1002,0.06779661016949153,0.6648306744273791
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,4,151,59804,7863,7864,133834,2,2,7,7,1007,0.06779661016949153,0.6931471805599453
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,50,151,88702,7833,7834,258589,14,14,124,124,1019,0.8474576271186439,0.2724305887585889
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,53,151,85272,7869,7870,243523,13,13,101,101,1009,0.8983050847457628,0.3105769973473941
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,4,151,54541,7915,7916,321814,2,2,7,7,1016,0.06779661016949153,0.6648306744273791
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,49,151,83072,7864,7865,327853,11,11,133,133,1008,0.8305084745762712,0.2821452153318088
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,54,151,85369,7852,7853,215986,11,11,120,120,1015,0.9152542372881356,0.2955438788603575
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,4,151,53843,7893,7894,156644,2,2,7,7,1001,0.06779661016949153,0.6277411625893767
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,4,151,55584,7844,7845,374382,2,2,9,9,1027,0.06779661016949153,0.5994246564568105
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,4,151,54775,7846,7847,418339,2,2,6,6,1029,0.06779661016949153,0.6648306744273791
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,4,151,58005,7889,7890,195269,2,2,8,8,1023,0.06779661016949153,0.6931471805599453
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,4,151,52079,7868,7869,150363,2,2,6,6,1013,0.06779661016949153,0.6931471805599453
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,54,151,101457,7855,7856,278334,13,13,127,127,1003,0.9152542372881356,0.2789072422863257
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,54,151,109509,7866,7867,294046,14,14,126,126,1011,0.9152542372881356,0.2823217101095347
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,52,151,110999,7873,7874,315332,13,13,120,120,1010,0.8813559322033898,0.29986210034616423
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,49,151,98058,7862,7863,230859,12,12,111,111,1018,0.8305084745762712,0.25910795054994873
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,44,151,107251,7838,7839,259808,13,13,108,108,1000,0.7457627118644068,0.3148417208063924
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,48,151,84549,7868,7869,289794,12,12,119,119,1020,0.8135593220338984,0.2759215699183125
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,4,151,49453,7905,7906,125647,2,2,7,7,1005,0.06779661016949153,0.6648306744273791
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,57,151,130546,7895,7896,332514,15,15,167,167,1028,0.9661016949152542,0.2837874621627814
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,38,151,79480,7878,7879,176250,8,8,100,100,1012,0.6440677966101694,0.2941716799276182
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,43,151,103960,7914,7915,207938,9,9,99,99,1021,0.7288135593220338,0.2704012930003125
Newzgrabber.Base64Decoder,BRANCH,MOSA,59,58,2,54,151,93660,7903,7904,257581,14,14,155,155,1004,0.9152542372881356,0.2855907076885776
