TARGET_CLASS,criterion,configuration_id,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Random_Seed,BranchCoverage,CoverageEntropy
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,4,151,149646,7588,7589,543026,2,2,36,36,1029,0.06779661016949153,0.6931471805599453
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,35,133,114777,6756,6757,614844,5,5,104,104,1016,0.5932203389830508,0.34770806156444123
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,4,151,106334,7870,7871,426198,2,2,11,11,1024,0.06779661016949153,0.6648306744273791
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,37,79,107475,3729,3730,616526,5,5,149,149,1006,0.6271186440677966,0.3355576588350793
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,4,134,87660,6878,6879,616751,2,2,48,48,1017,0.06779661016949153,0.6931471805599453
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,4,151,136929,7756,7757,564675,1,1,26,26,1007,0.06779661016949153,0.6365141682948128
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,4,151,109403,7783,7784,461897,2,2,25,25,1018,0.06779661016949153,0.5994246564568105
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,4,151,103625,7756,7757,507001,2,2,18,18,1010,0.06779661016949153,0.6931471805599453
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,45,142,125093,7079,7080,618744,7,7,133,133,1026,0.7627118644067796,0.2136435849131697
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,43,82,89831,4159,4160,615507,9,9,179,179,1023,0.7288135593220338,0.3727961070970448
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,46,68,86545,3345,3346,617533,9,9,203,203,1022,0.7796610169491526,0.3208536553254405
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,48,83,82655,4208,4209,618063,10,10,254,254,1020,0.8135593220338984,0.3243356350562556
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,42,151,102950,7749,7750,635003,7,7,153,153,1015,0.7118644067796609,0.36969302692435296
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,34,89,99481,4472,4473,614145,5,5,109,109,1025,0.576271186440678,0.3171276123260108
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,4,151,173017,7658,7659,564729,1,1,29,29,1011,0.06779661016949153,0.6365141682948128
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,4,151,118722,7735,7736,594899,1,1,19,19,1019,0.06779661016949153,0.6365141682948128
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,4,138,147927,6902,6903,610828,2,2,30,30,1028,0.06779661016949153,0.6931471805599453
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,4,151,130809,7831,7832,591365,2,2,35,35,1012,0.06779661016949153,0.6277411625893767
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,45,97,96585,4941,4942,617682,6,6,107,107,1003,0.7627118644067796,0.32505673504759963
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,4,139,124867,7067,7068,616440,1,1,23,23,1008,0.06779661016949153,0.6365141682948128
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,42,113,108012,5829,5830,617287,7,7,171,171,1014,0.7118644067796609,0.29622872628568525
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,36,101,108772,4861,4862,618215,6,6,180,180,1013,0.6101694915254238,0.3447131728041368
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,45,91,84592,4662,4663,617441,10,10,239,239,1009,0.7627118644067796,0.2979112565710605
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,4,151,112061,7771,7772,553755,2,2,20,20,1002,0.06779661016949153,0.6931471805599453
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,4,151,120608,7850,7851,443354,2,2,27,27,1004,0.06779661016949153,0.6931471805599453
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,46,116,103081,6056,6057,616302,11,11,197,197,1021,0.7796610169491526,0.3046403638060611
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,35,119,112266,5950,5951,617894,7,7,175,175,1005,0.5932203389830508,0.36202205759293227
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,4,151,131102,7715,7716,526051,2,2,44,44,1027,0.06779661016949153,0.6931471805599453
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,4,151,129593,7728,7729,534168,2,2,24,24,1000,0.06779661016949153,0.6931471805599453
Newzgrabber.Base64Decoder,BRANCH,QMOSA,59,58,2,41,93,91292,4597,4598,616416,7,7,169,169,1001,0.6949152542372882,0.3385176222688536
Services,BRANCH,QMOSA,15,8,11,11,193,203371,10055,10056,602744,3,3,26,26,1018,0.7333333333333333,1.3647815207407
Services,BRANCH,QMOSA,15,8,11,11,209,217210,10916,10917,604645,5,5,58,58,1009,0.7333333333333333,1.653130033116066
Services,BRANCH,QMOSA,15,8,11,11,247,220972,12973,12974,604137,3,3,56,56,1007,0.7333333333333333,2.221255109070773
Services,BRANCH,QMOSA,15,8,11,11,154,186168,8002,8003,604973,4,4,86,86,1027,0.7333333333333333,2.2038817889400155
Services,BRANCH,QMOSA,15,8,11,11,244,215810,12782,12783,605708,3,3,44,44,1008,0.7333333333333333,1.9791164087327375
Services,BRANCH,QMOSA,15,8,11,11,172,187563,8977,8978,604448,3,3,54,54,1011,0.7333333333333333,1.8979107129342327
Services,BRANCH,QMOSA,15,8,11,11,213,229640,11038,11039,604097,4,4,48,48,1024,0.7333333333333333,1.8713601475563741
Services,BRANCH,QMOSA,15,8,11,11,188,209277,9819,9820,602760,3,3,45,45,1029,0.7333333333333333,1.9499514534384799
Services,BRANCH,QMOSA,15,8,11,11,195,198587,10152,10153,603937,2,2,30,30,1028,0.7333333333333333,1.8778382404072835
Services,BRANCH,QMOSA,15,8,11,11,200,214544,9950,9951,605904,4,4,73,73,1005,0.7333333333333333,2.2044627010631253
Services,BRANCH,QMOSA,15,8,11,11,194,205356,10177,10178,605786,3,3,67,67,1021,0.7333333333333333,2.175045297033444
Services,BRANCH,QMOSA,15,8,11,11,155,203650,7670,7671,607034,4,4,83,83,1004,0.7333333333333333,2.1563559583089438
Services,BRANCH,QMOSA,15,8,11,11,227,239003,11852,11853,604576,5,5,43,43,1006,0.7333333333333333,1.6751818947292576
Services,BRANCH,QMOSA,15,8,11,11,240,251594,12494,12495,603986,5,5,51,51,1025,0.7333333333333333,1.759419015309811
Services,BRANCH,QMOSA,15,8,11,11,166,186452,8601,8602,604639,3,3,60,60,1002,0.7333333333333333,2.32411629282966
Services,BRANCH,QMOSA,15,8,11,11,206,216462,10827,10828,604039,2,2,53,53,1023,0.7333333333333333,2.302585092994045
Services,BRANCH,QMOSA,15,8,11,11,168,196119,8312,8313,606376,5,5,110,110,1001,0.7333333333333333,2.2049891122861194
Services,BRANCH,QMOSA,15,8,11,11,237,240747,12442,12443,604183,3,3,31,31,1013,0.7333333333333333,1.8910219647862396
Services,BRANCH,QMOSA,15,8,11,11,186,207373,9604,9605,603350,3,3,63,63,1000,0.7333333333333333,2.1930837373367003
Services,BRANCH,QMOSA,15,8,11,11,178,217761,9013,9014,605396,2,2,62,62,1019,0.7333333333333333,2.2872268028453044
Services,BRANCH,QMOSA,15,8,11,11,192,207291,9998,9999,603130,2,2,35,35,1014,0.7333333333333333,2.058625108580717
