TARGET_CLASS,criterion,configuration_id,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Random_Seed,BranchCoverage,CoverageEntropy
Newzgrabber.Base64Decoder,BRANCH,ReadableMOSA,59,58,2,50,151,144050,7933,8263,245969,11,11,215,215,1004,0.8474576271186439,0.3934243653459343
Newzgrabber.Base64Decoder,BRANCH,ReadableMOSA,59,58,2,4,151,110595,7965,8477,174838,1,1,17,17,1014,0.06779661016949153,0.6365141682948128
Newzgrabber.Base64Decoder,BRANCH,ReadableMOSA,59,58,2,52,151,205128,7572,8026,205938,10,10,197,197,1013,0.8813559322033898,0.5266660389519646
Newzgrabber.Base64Decoder,BRANCH,ReadableMOSA,59,58,2,4,151,151844,7758,8310,386820,2,2,18,18,1028,0.06779661016949153,0.6648306744273791
Newzgrabber.Base64Decoder,BRANCH,ReadableMOSA,59,58,2,4,151,95929,7799,8435,152750,2,2,34,34,1006,0.06779661016949153,0.6365141682948128
Newzgrabber.Base64Decoder,BRANCH,ReadableMOSA,59,58,2,4,151,155035,7777,8280,113430,2,2,20,20,1011,0.06779661016949153,0.6648306744273791
Newzgrabber.Base64Decoder,BRANCH,ReadableMOSA,59,58,2,4,151,92261,8134,8568,229833,2,2,21,21,1021,0.06779661016949153,0.6365141682948128
Newzgrabber.Base64Decoder,BRANCH,ReadableMOSA,59,58,2,4,151,107217,7872,8303,169159,2,2,21,21,1012,0.06779661016949153,0.6365141682948128
Newzgrabber.Base64Decoder,BRANCH,ReadableMOSA,59,58,2,39,151,114105,7805,8381,417161,6,6,112,112,1017,0.6610169491525424,0.4648179110906252
Newzgrabber.Base64Decoder,BRANCH,ReadableMOSA,59,58,2,4,151,105354,7736,8238,233399,2,2,7,7,1025,0.06779661016949153,0.6648306744273791
Newzgrabber.Base64Decoder,BRANCH,ReadableMOSA,59,58,2,50,151,182415,7861,8427,318625,9,9,204,204,1018,0.8474576271186439,0.3834073394104523
Newzgrabber.Base64Decoder,BRANCH,ReadableMOSA,59,58,2,41,151,115170,7798,8370,182653,9,9,173,173,1016,0.6949152542372882,0.5188847364018234
Newzgrabber.Base64Decoder,BRANCH,ReadableMOSA,59,58,2,41,151,111089,7785,8466,153516,5,5,76,76,1026,0.6949152542372882,0.4101420668894257
